153,11
totalDiagnosticErrors_per_differentSlugs,totalTestsPassed_per_totalTestsRan,commitsStyleOK_per_totalCommits,differentSlugs_per_differentCourses,totalCommits,totalTestsRan,totalTestsPassed,totalDiagnosticErrors,differentSlugs,differentCourses,commitsStyleOK,averageGrade
132.54166666666666,0.787797619047619,0.1902834008097166,24.0,247,6720,5294,3181,24,1,47,85.71499999999999
71.3913043478261,0.6481884057971015,0.37305699481865284,23.0,193,5520,3578,1642,23,1,72,78.39608695652173
197.63636363636363,0.7323256947830327,0.09243697478991597,22.0,238,6153,4506,4348,22,1,22,79.69863636363635
310.6818181818182,0.682382762991128,0.10480349344978165,22.0,458,11835,8076,6835,22,1,48,84.5559090909091
67.25,0.7840416305290546,0.24299065420560748,16.0,107,3459,2712,1076,16,1,26,80.163125
129.72727272727272,0.74916730719959,0.32167832167832167,22.0,286,7806,5848,2854,22,1,92,80.83
234.23809523809524,0.681400406931874,0.11042944785276074,21.0,489,14253,9712,4919,21,1,54,92.64095238095238
316.2,0.7493472584856397,0.10249307479224377,20.0,361,8809,6601,6324,20,1,37,83.88250000000001
56.21739130434783,0.8422210005497526,0.2803030303030303,23.0,132,3638,3064,1293,23,1,37,86.41304347826087
92.04347826086956,0.7756598240469208,0.26,23.0,100,2046,1587,2117,23,1,26,78.19565217391305
108.875,0.6742133537989256,0.4065934065934066,4.0,91,2606,1757,871,8,2,37,97.28222222222222
156.2,0.6689741371022017,0.2275132275132275,25.0,378,10401,6958,3905,25,1,86,81.3276
151.32,0.7998899486426999,0.19607843137254902,25.0,204,5452,4361,3783,25,1,40,80.0124
31.842105263157894,0.9127134724857685,0.4367816091954023,19.0,87,2108,1924,605,19,1,38,77.22631578947369
83.68,0.8666077738515902,0.45161290322580644,25.0,93,2264,1962,2092,25,1,42,81.818
142.35,0.7731958762886598,0.11299435028248588,20.0,177,4462,3450,2847,20,1,20,77.92999999999999
75.16,0.8031404478045944,0.11673151750972763,25.0,257,6878,5524,1879,25,1,30,83.98479999999999
32.36363636363637,0.6518956179222059,0.525,11.0,80,2031,1324,356,11,1,42,90.00181818181818
251.1818181818182,0.8033524121013901,0.0821917808219178,22.0,292,7338,5895,5526,22,1,24,84.65090909090908
23.933333333333334,0.94693094629156,0.390625,15.0,64,1564,1481,359,15,1,25,86.66666666666667
87.66666666666667,0.8015844862244295,0.28421052631578947,21.0,285,8457,6779,1841,21,1,81,83.37904761904763
124.0,0.7411069731603955,0.17567567567567569,23.0,296,7787,5771,2852,23,1,52,80.08434782608695
145.66666666666666,0.7023469514466658,0.15123456790123457,24.0,324,8053,5656,3496,24,1,49,83.33333333333333
