153,3
totalDiagnosticErrors_per_differentSlugs,totalTestsPassed_per_totalTestsRan,differentSlugs_per_differentCourses,averageGrade
4.666666666666667,0.7319884726224783,3.0,75.89166666666667
45.6,0.774014978834256,15.0,100.0
45.07692307692308,0.847233691164327,13.0,87.64384615384614
86.04,0.8717902675525229,25.0,79.3892
188.17391304347825,0.6997038682213585,23.0,80.38173913043478
72.0,0.4382716049382716,4.0,84.1675
37.90909090909091,0.8268595041322314,11.0,100.0
58.75,0.870002093364036,24.0,91.66666666666667
97.0,0.5,3.0,18.333333333333332
157.86363636363637,0.7801736870089206,22.0,83.81818181818181
146.52941176470588,0.7554043234587671,17.0,68.22764705882352
66.0,0.8447368421052631,1.0,92.11
80.47826086956522,0.8385339276869738,23.0,82.6086956521739
306.9130434782609,0.6982693754702785,23.0,71.52869565217392
43.6,0.8877216021011162,2.5,100.0
73.31818181818181,0.8107362958157639,22.0,80.45954545454545
187.875,0.8261694915254237,24.0,85.83333333333333
69.0,0.7922864060878588,25.0,86.1456
47.72727272727273,0.7753479125248509,11.0,85.64818181818181
102.85714285714286,0.739023892178885,21.0,71.4952380952381
132.54166666666666,0.787797619047619,24.0,85.71499999999999
71.3913043478261,0.6481884057971015,23.0,78.39608695652173
197.63636363636363,0.7323256947830327,22.0,79.69863636363635
310.6818181818182,0.682382762991128,22.0,84.5559090909091
67.25,0.7840416305290546,16.0,80.163125
129.72727272727272,0.74916730719959,22.0,80.83
234.23809523809524,0.681400406931874,21.0,92.64095238095238
316.2,0.7493472584856397,20.0,83.88250000000001
56.21739130434783,0.8422210005497526,23.0,86.41304347826087
92.04347826086956,0.7756598240469208,23.0,78.19565217391305
108.875,0.6742133537989256,4.0,97.28222222222222
156.2,0.6689741371022017,25.0,81.3276
151.32,0.7998899486426999,25.0,80.0124
31.842105263157894,0.9127134724857685,19.0,77.22631578947369
83.68,0.8666077738515902,25.0,81.818
142.35,0.7731958762886598,20.0,77.92999999999999
75.16,0.8031404478045944,25.0,83.98479999999999
32.36363636363637,0.6518956179222059,11.0,90.00181818181818
251.1818181818182,0.8033524121013901,22.0,84.65090909090908
23.933333333333334,0.94693094629156,15.0,86.66666666666667
87.66666666666667,0.8015844862244295,21.0,83.37904761904763
124.0,0.7411069731603955,23.0,80.08434782608695
